date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2025-03-25,7598.7685546875,7963.9501953125,8151.0,7795.39990234375,8048.10009765625,267380
2025-03-26,7527.302734375,7889.0498046875,8055.5498046875,7828.5,7999.9501953125,112028
2025-03-27,7505.54833984375,7866.25,8018.2998046875,7774.0,7774.0,286752
2025-03-28,7490.90185546875,7850.89990234375,7936.9501953125,7690.0,7930.0,152932
2025-04-01,7237.52880859375,7585.35009765625,7800.0,7567.0,7709.0,141821
2025-04-02,7410.70654296875,7766.85009765625,7787.2998046875,7590.0,7616.0,156132
2025-04-03,7233.66455078125,7581.2998046875,7679.9501953125,7500.0,7679.9501953125,174309
2025-04-04,7176.654296875,7521.5498046875,7638.9501953125,7451.14990234375,7555.0,179350
2025-04-07,6959.681640625,7294.14990234375,7349.0,7038.0,7235.0,182758
2025-04-08,7199.935546875,7545.9501953125,7578.0,7240.0,7425.0,147706
2025-04-09,7061.7275390625,7401.10009765625,7548.64990234375,7309.60009765625,7502.4501953125,111108
2025-04-11,7232.28125,7579.85009765625,7649.9501953125,7511.14990234375,7600.0,116992
2025-04-15,7438.51953125,7796.0,7818.5,7621.0,7652.0,138731
2025-04-16,7521.05322265625,7882.5,7952.5,7765.5,7825.0,115104
2025-04-17,7585.45849609375,7950.0,7998.0,7817.0,7831.0,174520
2025-04-21,7759.58935546875,8132.5,8311.5,7960.5,7969.5,410248
2025-04-22,7807.77392578125,8183.0,8245.0,8012.5,8169.0,103304
2025-04-23,8222.349609375,8617.5,8655.0,8266.5,8295.0,296818
2025-04-24,8363.564453125,8765.5,8819.0,8675.5,8699.0,337156
2025-04-25,8209.46875,8604.0,8865.0,8460.0,8820.0,279186
